__time,/collect_data/distance,/collect_data/velocity
1693884086.693489,276.823187,2.723478
1693884086.792575,276.550835,2.845347
1693884086.887835,276.266004,2.976976
1693884086.980725,275.968602,3.115355
1693884087.071991,275.656853,3.269381
1693884087.171566,275.329597,3.429861
1693884087.269075,274.986527,3.593623
1693884087.374505,274.627539,3.759949
1693884087.468641,274.252547,3.924053
1693884087.560097,273.862112,4.080515
1693884087.656461,273.457067,4.224691
1693884087.743436,273.038581,4.356709
1693884087.835924,272.607791,4.479510
1693884087.936150,272.165429,4.594158
1693884088.035088,271.712270,4.701187
1693884088.131615,271.248993,4.801130
1693884088.236446,270.776184,4.893321
1693884088.348824,270.294553,4.980243
1693884088.437282,269.804499,5.065411
1693884088.533868,269.312912,5.021399
1693884088.628869,268.820839,5.004205
1693884088.730627,268.328371,5.016143
1693884088.821945,267.832965,5.050843
1693884088.913688,267.341294,5.000315
1693884089.006787,266.842221,5.112401
1693884089.103449,266.342538,5.088706
1693884089.197347,265.842518,5.104376
1693884089.296637,265.339254,5.145383
1693884089.393924,264.830607,5.204504
1693884089.488939,264.315017,5.279031
1693884089.577912,263.791045,5.365178
1693884089.670437,263.257896,5.460625
1693884089.771642,262.714593,5.564979
1693884089.868053,262.160341,5.676054
1693884089.956997,261.594565,5.790699
1693884090.052598,261.016989,5.908796
1693884090.145089,260.427309,6.030136
1693884090.242110,259.825173,6.154886
1693884090.335296,259.210275,6.280926
1693884090.430635,258.582647,6.406901
1693884090.525097,257.942367,6.532181
1693884090.608698,257.289434,6.655898
1693884090.699780,256.624156,6.776307
1693884090.788239,255.946881,6.893315
1693884090.875846,255.257917,7.006664
1693884090.960261,254.557721,7.114326
1693884091.048797,253.846812,7.217744
1693884091.156234,253.125510,7.317814
1693884091.258255,252.394120,7.415155
1693884091.360868,251.652855,7.509950
1693884091.453452,250.902017,7.602125
1693884091.549392,250.141882,7.691079
1693884091.643076,249.372797,7.777030
1693884091.728133,248.594976,7.861249
1693884091.817984,247.808461,7.944487
1693884091.918314,247.013343,8.027268
1693884092.016439,246.209695,8.109440
1693884092.107512,245.397530,8.191157
1693884092.204074,244.576967,8.272039
1693884092.303423,243.748034,8.352664
1693884092.391425,242.910698,8.434051
1693884092.481229,242.064926,8.516526
1693884092.574861,241.210608,8.599725
1693884092.665630,240.347712,8.682968
1693884092.750922,239.476280,8.766933
1693884092.846626,238.596127,8.852213
1693884092.943480,237.707222,8.938365
1693884093.034246,236.809530,9.024313
1693884093.127691,235.903035,9.110063
1693884093.221138,234.987735,9.197493
1693884093.322601,234.063414,9.286677
1693884093.417182,233.129980,9.377016
1693884093.510394,232.187339,9.468235
1693884093.595907,231.235458,9.559731
1693884093.683386,230.274306,9.651495
1693884093.774305,229.303853,9.744228
1693884093.858092,228.323989,9.837680
1693884093.948231,227.334698,9.931084
1693884094.032959,226.336012,10.023751
1693884094.133537,225.328097,10.115957
1693884094.225958,224.310863,10.208932
1693884094.317504,223.284293,10.302409
1693884094.406086,222.248326,10.396235
1693884094.498200,221.202964,10.490078
1693884094.583752,220.148237,10.583248
1693884094.672506,219.084235,10.676044
1693884094.775228,218.010960,10.768645
1693884094.868006,216.928457,10.860964
1693884094.964365,215.836821,10.952053
1693884095.060052,214.736118,11.042281
1693884095.155876,213.626363,11.132801
1693884095.252826,212.507572,11.223652
1693884095.339192,211.379715,11.314558
1693884095.432536,210.242777,11.405238
1693884095.526237,209.096791,11.495761
1693884095.623946,207.941772,11.586473
1693884095.718516,206.777676,11.677227
1693884095.806262,205.604518,11.767913
1693884095.900676,204.422311,11.858477
1693884095.994704,203.231055,11.949350
1693884096.086233,202.030723,12.039900
1693884096.191685,200.821390,12.130127
1693884096.286489,199.603102,12.219286
1693884096.379139,198.376025,12.306213
1693884096.470837,197.140465,12.389245
1693884096.551473,195.896802,12.468069
1693884096.644020,194.645557,12.542062
1693884096.738532,193.387266,12.610115
1693884096.823549,192.122461,12.672943
1693884096.908568,190.851782,12.728366
1693884096.999609,189.575899,12.777603
1693884097.087659,188.295439,12.821073
1693884097.189262,187.011012,12.857256
1693884097.288294,185.723335,12.886662
1693884097.377081,184.433092,12.909945
1693884097.477175,183.140741,12.928530
1693884097.569713,181.846862,12.941462
1693884097.662889,180.552021,12.948514
1693884097.751100,179.256752,12.951018
1693884097.846885,177.961407,12.949298
1693884097.939154,176.666580,12.942327
1693884098.032054,175.372684,12.930840
1693884098.136196,174.080073,12.916194
1693884098.233170,172.789142,12.898355
1693884098.333117,171.500092,12.878055
1693884098.427473,170.213226,12.855865
1693884098.518537,168.928634,12.831986
1693884098.613523,167.646515,12.807041
1693884098.700393,166.366914,12.781718
1693884098.796720,165.089832,12.756253
1693884098.895968,163.815302,12.730818
1693884098.985312,162.543292,12.705541
1693884099.074155,161.273801,12.680337
1693884099.167081,160.006844,12.655281
1693884099.258904,158.742343,12.630437
1693884099.338914,157.480346,12.605673
1693884099.425720,156.220820,12.581063
1693884099.512739,154.963736,12.556647
1693884099.603287,153.709093,12.532361
1693884099.706905,152.456846,12.508221
1693884099.798002,151.206995,12.484300
1693884099.882169,149.959537,12.460536
1693884099.967600,148.714441,12.436882
1693884100.062702,147.471692,12.413393
1693884100.158204,146.231289,12.390003
1693884100.252160,144.993202,12.366718
1693884100.344470,143.757431,12.343579
1693884100.436914,142.523978,12.320630
1693884100.529067,141.292798,12.297774
1693884100.614778,140.063907,12.275049
1693884100.711941,138.837258,12.252488
1693884100.804392,137.612868,12.230050
1693884100.895660,136.390706,12.207747
1693884100.991122,135.170771,12.185598
1693884101.079360,133.953050,12.163547
1693884101.171023,132.746404,12.141569
1693884101.251674,131.628740,12.119761
1693884101.342730,130.673045,12.098192
1693884101.446978,129.570021,12.076752
1693884101.533608,128.598674,12.055408
1693884101.624902,127.658698,12.034157
1693884101.714329,126.747881,12.013037
1693884101.804702,125.863516,11.992036
1693884101.882053,125.006990,11.971118
1693884101.975764,124.178970,11.950344
1693884102.066837,123.379502,11.929658
1693884102.150966,122.608067,11.909142
1693884102.240497,122.096546,11.888734
1693884102.328045,121.147001,11.868408
1693884102.420728,120.456501,11.848208
1693884102.516105,119.786537,11.828100
1693884102.597887,119.117679,11.808095
1693884102.691026,118.459212,11.788243
1693884102.775694,117.818919,11.768472
1693884102.861650,117.201260,11.748812
1693884102.951514,116.608498,11.729245
1693884103.036381,116.041685,11.709795
1693884103.128341,115.501206,11.690467
1693884103.219402,114.987142,11.671227
1693884103.311029,114.499361,11.652096
1693884103.397386,114.037707,11.633103
1693884103.480110,113.601951,11.614190
1693884103.569814,113.191897,11.595399
1693884103.657366,112.807279,11.576705
1693884103.746678,112.447857,11.558136
1693884103.836222,112.113364,11.539592
1693884103.932002,111.803577,11.521148
1693884104.020566,111.959675,11.502856
1693884104.109729,111.257073,11.484633
1693884104.197096,111.019870,11.466490
1693884104.287091,110.806353,11.448428
1693884104.377952,110.616286,11.430470
1693884104.464686,110.944101,11.412621
1693884104.552865,110.297192,11.394887
1693884104.643141,110.128185,11.377277
1693884104.729324,109.924066,11.359738
1693884104.817019,109.677128,11.342326
1693884104.896861,109.384841,11.325022
1693884104.982380,109.046901,11.307818
1693884105.065420,108.663999,11.290677
1693884105.149428,108.237238,11.273636
1693884105.242267,107.767947,11.256611
1693884105.322444,107.257558,11.239676
1693884105.412282,106.671995,11.222878
1693884105.498873,105.840974,11.206205
1693884105.580385,104.767522,11.189529
1693884105.667974,103.649710,11.172937
1693884105.750540,102.532982,11.156448
1693884105.832405,101.418185,11.127864
1693884105.919110,100.313707,10.945914
1693884106.000200,99.233792,10.660817
1693884106.097262,98.184711,10.337871
1693884106.180439,97.168525,10.004786
1693884106.267109,96.185547,9.672874
1693884106.357358,95.235436,9.346552
1693884106.433040,94.317510,9.027413
1693884106.509467,93.431037,8.715906
1693884106.598241,92.575253,8.412022
1693884106.682534,91.749400,8.115580
1693884106.763539,90.952768,7.826339
1693884106.846325,90.184635,7.544039
1693884106.917862,89.444335,7.268438
1693884107.001512,88.731204,6.999306
1693884107.083436,88.044596,6.736436
1693884107.168115,87.383917,6.479654
1693884107.242360,86.748565,6.228801
1693884107.335919,86.137928,5.983761
1693884107.415885,85.551526,5.742548
1693884107.496124,84.989119,5.501262
1693884107.586924,84.451274,5.252414
1693884107.676325,83.938192,5.002669
1693884107.755250,83.446380,4.839696
1693884107.839581,82.973806,4.628008
1693884107.917524,82.523484,4.400703
1693884107.994552,82.095867,4.175072
1693884108.075828,81.690715,3.951377
1693884108.159231,81.307718,3.731009
1693884108.234118,80.946707,3.511909
1693884108.321129,80.607420,3.294291
1693884108.402363,80.290186,3.073300
1693884108.486030,79.995242,2.848754
1693884108.563073,79.722591,2.625598
1693884108.641345,79.472321,2.402288
1693884108.720302,79.244733,2.173081
1693884108.802000,79.039798,1.949080
1693884108.883770,78.918901,0.146914
1693884108.964040,78.918917,-0.000223
1693884109.046365,78.918688,-0.000215
1693884109.126719,78.918512,-0.000131
1693884109.218278,78.918409,-0.000073
1693884109.310298,78.918409,0.000000
1693884109.395022,78.918409,0.000000
1693884109.483971,78.918409,0.000000
1693884109.561752,78.918409,0.000000
1693884109.639847,78.918409,0.000000
1693884109.726313,78.918409,0.000000
1693884109.800528,78.918409,0.000000
1693884109.890908,78.918409,0.000000
1693884109.982074,78.918409,0.000000
1693884110.068569,78.918409,0.000000
1693884110.146931,78.918409,0.000000
1693884110.227106,78.918409,0.000000
1693884110.307514,78.918409,0.000000
1693884110.396741,78.918409,0.000000
1693884110.479400,78.918409,0.000000
1693884110.561011,78.918409,0.000000
1693884110.644194,78.918409,0.000000
1693884110.722060,78.918409,0.000000
1693884110.803656,78.918409,0.000000
1693884110.885769,78.918409,0.000000
1693884110.971555,78.918409,0.000000
1693884111.045295,78.918409,0.000000
1693884111.126212,78.918409,0.000000
1693884111.204968,78.918409,0.000000
1693884111.289934,78.918409,0.000000
1693884111.369578,78.918409,0.000000
