__time,/collect_data/distance,/collect_data/velocity
1693884079.669566,279.000628,-0.000060
1693884079.743405,279.000628,-0.000021
1693884079.819600,278.999963,-0.001101
1693884079.905323,279.000057,-0.000398
1693884079.990837,279.000273,-0.000062
1693884080.067632,279.000365,0.000024
1693884080.146955,279.000365,0.000031
1693884080.227732,279.000365,0.000022
1693884080.308201,279.000365,0.000013
1693884080.385373,279.000365,0.000008
1693884080.468514,279.000365,0.000000
1693884080.551892,279.000365,0.000000
1693884080.642400,279.000365,0.000000
1693884080.727000,279.000365,0.000000
1693884080.808278,279.000365,0.000000
1693884080.889639,279.000365,0.000000
1693884080.968939,279.000365,0.000000
1693884081.052718,279.000365,0.000000
1693884081.132548,279.000365,0.000000
1693884081.215436,279.000365,0.000000
1693884081.300437,279.000365,0.000000
1693884081.379021,279.000365,0.000000
1693884081.461635,279.000365,0.000000
1693884081.545163,279.000365,0.000000
1693884081.629486,279.000365,0.000000
1693884081.711444,279.000365,0.000000
1693884081.793194,279.000365,0.000000
1693884081.874439,279.000365,0.000000
1693884081.954389,279.000365,0.000000
1693884082.046433,279.000365,0.000000
1693884082.121179,279.000365,0.000000
1693884082.201203,279.000365,0.000000
1693884082.292474,279.000365,0.000000
1693884082.387482,279.000365,0.000000
1693884082.476903,279.000365,0.000000
1693884082.563667,279.000365,0.000000
1693884082.652673,279.000365,0.000000
1693884082.743497,278.999350,-0.021829
1693884082.831184,278.998581,0.000006
1693884082.925884,278.998581,0.000001
1693884083.033370,278.998581,0.000000
1693884083.120286,278.998581,0.000000
1693884083.215556,278.998581,0.000000
1693884083.329391,278.998581,0.000000
1693884083.423342,278.998581,0.000000
1693884083.532194,278.998581,0.000000
1693884083.633984,278.998581,0.000000
1693884083.726150,278.998581,0.000000
1693884083.826121,278.998581,0.000000
1693884083.925709,278.998581,0.000000
1693884084.012661,278.998581,0.000000
1693884084.102126,278.998581,0.000000
1693884084.205714,278.998581,0.000000
1693884084.303545,278.998581,0.000000
1693884084.406112,278.998581,0.000000
1693884084.497960,278.998581,0.000000
1693884084.586591,278.998581,0.000000
1693884084.685910,278.998581,0.000000
1693884084.785795,278.998581,0.000000
1693884084.869227,278.998581,0.000000
1693884084.959207,278.997597,0.073312
1693884085.047628,278.995629,0.067403
1693884085.150543,278.994092,0.063798
1693884085.250996,278.992740,0.063356
1693884085.362546,278.989941,0.097127
1693884085.457309,278.974782,0.229792
1693884085.550419,278.944007,0.413684
1693884085.643073,278.890024,0.704768
1693884085.732165,278.810278,0.959502
1693884085.825831,278.704729,1.192167
1693884085.919138,278.571063,1.495750
1693884086.015038,278.410143,1.759129
1693884086.103266,278.226007,1.976647
1693884086.192593,278.023601,2.141206
1693884086.296585,277.806761,2.278936
1693884086.387394,277.577423,2.404067
1693884086.488937,277.336240,2.520205
1693884086.591460,277.084621,2.621566
