__time,/collect_data/distance,/collect_data/velocity
1693883888.265864,279.000628,-0.000049
1693883888.353652,279.000628,-0.000060
1693883888.436134,279.000628,-0.000021
1693883888.524721,278.999963,-0.001101
1693883888.615242,279.000057,-0.000398
1693883888.694211,279.000273,-0.000062
1693883888.772940,279.000365,0.000024
1693883888.856140,279.000365,0.000031
1693883888.947512,279.000365,0.000022
1693883889.036533,279.000365,0.000013
1693883889.119980,279.000365,0.000008
1693883889.199020,279.000365,0.000000
1693883889.284935,279.000365,0.000000
1693883889.364948,279.000365,0.000000
1693883889.454451,279.000365,0.000000
1693883889.537877,279.000365,0.000000
1693883889.626731,279.000365,0.000000
1693883889.710365,279.000365,0.000000
1693883889.794918,279.000365,0.000000
1693883889.876403,279.000365,0.000000
1693883889.956291,279.000365,0.000000
1693883890.043305,279.000365,0.000000
1693883890.126624,279.000365,0.000000
1693883890.215595,279.000365,0.000000
1693883890.310493,279.000365,0.000000
1693883890.399817,279.000365,0.000000
1693883890.486700,279.000365,0.000000
1693883890.578154,279.000365,0.000000
1693883890.664253,279.000365,0.000000
1693883890.746407,279.000365,0.000000
1693883890.840689,279.000365,0.000000
1693883890.919527,279.000365,0.000000
1693883890.999777,279.000365,0.000000
1693883891.094043,279.000365,0.000000
1693883891.196088,279.000365,0.000000
1693883891.285947,279.000365,0.000000
1693883891.388481,279.000365,0.000000
1693883891.480817,279.000365,0.000000
1693883891.580777,278.999350,-0.021903
1693883891.689402,278.998581,0.000006
1693883891.774522,278.998581,0.000001
1693883891.866971,278.998581,0.000000
1693883891.968141,278.998581,0.000000
1693883892.060966,278.998581,0.000000
1693883892.152050,278.998581,0.000000
1693883892.259866,278.998581,0.000000
1693883892.364655,278.998581,0.000000
1693883892.459084,278.998581,0.000000
1693883892.552131,278.998581,0.000000
1693883892.647703,278.998581,0.000000
1693883892.734051,278.998581,0.000000
1693883892.831655,278.998581,0.000000
1693883892.919504,278.998581,0.000000
1693883893.017895,278.998581,0.000000
1693883893.112663,278.998581,0.000000
1693883893.215525,278.998581,0.000000
1693883893.317343,278.998581,0.000000
1693883893.413331,278.998581,0.000000
1693883893.500362,278.998581,0.000000
1693883893.593925,278.998581,0.000000
1693883893.690118,278.998581,0.000000
1693883893.788361,278.997321,0.063191
1693883893.880682,278.996154,0.060091
1693883893.979580,278.995201,0.059914
1693883894.076201,278.993910,0.065361
1693883894.178174,278.986226,0.120266
1693883894.273346,278.962835,0.295021
1693883894.372732,278.918208,0.583342
1693883894.465832,278.847587,0.844261
1693883894.556838,278.750634,1.099458
1693883894.652152,278.626545,1.397869
1693883894.744905,278.475806,1.638338
1693883894.847702,278.303815,1.846686
1693883894.936571,278.113791,2.024380
1693883895.029874,277.907780,2.183494
1693883895.125607,277.687300,2.322908
1693883895.233156,277.453894,2.452282
1693883895.343050,277.208121,2.576529
1693883895.434080,276.950533,2.694912
1693883895.527739,276.681287,2.817235
1693883895.624820,276.399378,2.951601
1693883895.721502,276.103609,3.099717
1693883895.819099,275.792930,3.258520
1693883895.917250,275.466603,3.422233
1693883896.011802,275.124385,3.588487
1693883896.111754,274.766005,3.756389
1693883896.212790,274.391435,3.924221
1693883896.316322,274.000896,4.087297
1693883896.422477,273.595215,4.239456
1693883896.524467,273.175465,4.381206
1693883896.618229,272.742667,4.509917
1693883896.714402,272.297869,4.629459
1693883896.811517,271.841812,4.742086
1693883896.910144,271.375175,4.847115
1693883897.005758,270.898640,4.943210
1693883897.107215,270.413039,5.031971
1693883897.199925,269.922971,5.037658
1693883897.295308,269.433186,5.009488
1693883897.402884,268.941459,5.047498
1693883897.500525,268.449529,5.095737
1693883897.597425,267.953016,5.031797
1693883897.682199,267.454825,5.088164
1693883897.780967,266.950984,5.120771
1693883897.880742,266.441768,5.205845
1693883897.977090,265.924887,5.251977
1693883898.075728,265.401348,5.347595
1693883898.178252,264.868647,5.408135
1693883898.269626,264.324670,5.556490
1693883898.366187,263.771681,5.603756
1693883898.477519,263.208543,5.743254
1693883898.577809,262.636298,5.796686
